"Teapplix SKU",,Asin,UPC,Location,Xref3,"Unit Cost","Total Cost","Qty on Hand","Qty to Ship","Qty Available","Qty Reserve","Item Title"
AAA-M1-FA-1X-ACA-000001BLK000-OHT,1,,,200,"<span style=""font-size: 14pt; font-family: Impact; color: #DF3A01"">TOOLS</span> ACA POP MEGA A995 7050 BLACK",36.71,330.39,9,0,9,,"Alcatel OneTouch Pop Mega LTE A995G A995L S9 OT-7050 Touch Screen Digitizer+LCD[Opening Tools]"
AAA-M1-FA-1X-ASU-000001BLK000,1,,,200,"ASUS ZENPHONE 2 ZE551ML",15.3,688.5,45,0,45,,"Asus Zenfone 2 ZE551ML Digitizer + LCD Fused - Black"
AAA-M1-FA-1X-ASU-000001BLK000-KZ,1,,,200,"ASUS ZENPHONE 2 ZE551ML",15.3,688.5,45,0,45,,"Touch Screen Glass Digitizer+LCD Fused Assembly for Black Asus Zenfone 2 ZE551ML"
AAA-M1-FA-1X-ASU-000001BLK000-OHT,1,,,200,"<span style=""font-size: 14pt; font-family: Impact; color: #DF3A01"">TOOLS</span> ASUS ZENPHONE 2 ZE551ML",15.3,688.5,45,0,45,,"Asus Zenfone 2 ZE551ML Digitizer + LCD Fused - Black + Main tool kit"
AAA-M1-FA-1X-ASU-000004BLK000,1,,,200,"ASUS ZENPHONE 2E ZE500CL BLACK",15.47,1113.84,72,0,71,1,"Asus ZenFone 2E Z00D ZE500CL Digitizer + LCD Fused - Black"
AAA-M1-FA-1X-ASU-000004BLK000-KZ,1,,,200,"ASUS ZENPHONE 2E ZE500CL BLACK",15.47,1098.37,71,0,71,,"Touch Screen Digitizer Glass Panel+LCD Display for Black Asus ZenFone 2E Z00D"
AAA-M1-FA-1X-ASU-000004BLK000-OHT,1,,,200,"<span style=""font-size: 14pt; font-family: Impact; color: #DF3A01"">TOOLS</span> ASUS ZENPHONE 2E ZE500CL BLACK",15.47,1098.37,71,0,71,,"Black Touch Screen Digitizer+LCD Display for Asus ZenFone 2E Z00D ZE500CL+Tools"
AAA-M1-FA-1X-BLU-000000WHT000,1,,,200,"BLU XL D850Q WHITE",22.55,1465.75,65,0,65,,"BLU Studio XL D850Q Digitizer + LCD Fused - White"
AAA-M1-FA-1X-BLU-000000WHT000-KZ,1,,,200,"BLU XL D850Q WHITE",22.55,1465.75,65,0,65,,"Touch Screen Digitizer Glass Panel+LCD Display for White BLU Studio XL D850Q"
AAA-M1-FA-1X-BLU-000000WHT000-OHT,1,,,200,"<span style=""font-size: 14pt; font-family: Impact; color: #DF3A01"">TOOLS</span> BLU XL D850Q WHITE",22.55,1465.75,65,0,65,,"BLU Studio XL D850Q Digitizer + LCD Fused - White + Main tool kit"
AAA-M1-FA-1X-BLU-000002WHT000,1,,,,,23.06,92.24,4,0,4,,"Blu Studio X 5.0"" D750 D750U D750L Digitizer + LCD Fused - White"
AAA-M1-FA-1X-BLU-000002WHT000-OHT,1,,,,,23.06,92.24,4,0,4,,
AAA-M1-FA-1X-GOO-000001BLK000,1,,,,,100.44,0,0,0,0,,"Google Pixel 5.0"" Digitizer + LCD Fused - Black"
AAA-M1-FA-1X-GOO-000001BLK000-OHT,1,,,,,100.44,0,0,0,0,,
AAA-M1-FA-1X-GOO-000002BLK000,1,,,,,117.44,587.2,5,0,5,,"Google Pixel 5.5"" Digitizer + LCD Fused - Black"
AAA-M1-FA-1X-GOO-000002BLK000-OHT,1,,,,,117.44,587.2,5,0,5,,
AAA-M1-FA-1X-HTC-000000BLK000,1,,,200,"HTC 610 BLACK",11.06,0,0,0,0,,"HTC Desire 610 Digitizer + LCD Fused - Black"
AAA-M1-FA-1X-HTC-000000BLK000-KZ,1,,,200,"HTC 610 BLACK",11.06,0,0,0,0,,"Touch Screen Glass Digitizer+LCD Fused Assembly for Black HTC Desire D610n 4.7"""
AAA-M1-FA-1X-HTC-000000BLK000-OHT,1,,,200,"<span style=""font-size: 14pt; font-family: Impact; color: #DF3A01"">TOOLS</span> HTC 610 BLACK",11.06,0,0,0,0,,"HTC Desire 610 Digitizer + LCD Fused - Black + Main tool kit"
AAA-M1-FA-1X-HTC-000004BLK000,1,,,200,"HTC 626 BLACK",14.74,88.44,6,0,6,,"HTC Desire 626 626S OPM9110 Digitizer + LCD Fused - Black"
AAA-M1-FA-1X-HTC-000004BLK000-KZ,1,,,200,"HTC 626 BLACK",14.74,88.44,6,0,6,,"Touch Screen Glass Digitizer+LCD Fused Assembly for Black HTC Desire D626t 5.0"""
AAA-M1-FA-1X-HTC-000004BLK000-OHT,1,,,200,"<span style=""font-size: 14pt; font-family: Impact; color: #DF3A01"">TOOLS</span> HTC 626 BLACK",14.74,88.44,6,0,6,,"HTC Desire 626 626S OPM9110 Digitizer + LCD Fused - Black + Main tool kit"
AAA-M1-FA-1X-HTC-000007BLK000,1,,,200,"HTC 526 BLACK",12.84,295.32,23,0,23,,"HTC Desire 526 526G Digitizer + LCD Fused - Black"
AAA-M1-FA-1X-HTC-000007BLK000-KZ,1,,,200,"HTC 526 BLACK",12.84,295.32,23,0,23,,"Touch Screen Digitizer Glass Panel+LCD Display Panel for Black HTC Desire 526"
AAA-M1-FA-1X-HTC-000007BLK000-OHT,1,,,200,"<span style=""font-size: 14pt; font-family: Impact; color: #DF3A01"">TOOLS</span> HTC 526 BLACK",12.84,295.32,23,0,23,,"HTC Desire 526 526G Digitizer + LCD Fused - Black + Main tool kit"
AAA-M1-FA-1X-HTC-000008BLK000,1,,,200,"HTC M8 BLACK",18.06,505.68,28,0,28,,"HTC One M8 Digitizer + LCD Fused - Black"
AAA-M1-FA-1X-HTC-000008BLK000-KZ,1,,,200,"HTC M8 BLACK",18.06,505.68,28,0,28,,"Touch Screen Digitizer Glass Panel+LCD Display Panel for Black HTC One M8"
AAA-M1-FA-1X-HTC-000008BLK000-OHT,1,,,200,"<span style=""font-size: 14pt; font-family: Impact; color: #DF3A01"">TOOLS</span> HTC M8 BLACK",18.06,505.68,28,0,28,,"HTC One M8 Digitizer + LCD Fused - Black + Main tool kit"
AAA-M1-FA-1X-HTC-000009BLK000,1,,,200,"HTC ONE E8 BLACK",15,30,2,0,2,,"HTC One E8 Digitizer + LCD Fused - Black"
AAA-M1-FA-1X-HTC-000009BLK000-KZ,1,,,200,"HTC ONE E8 BLACK",15,30,2,0,2,,"Touch Screen Digitizer Glass+LCD+Bezel Frame Assembly Black HTC One M8 5.0"""
AAA-M1-FA-1X-HTC-000009BLK000-OHT,1,,,200,"<span style=""font-size: 14pt; font-family: Impact; color: #DF3A01"">TOOLS</span> HTC ONE E8 BLACK",15,30,2,0,2,,"Touch Screen Digitizer Replacement+LCD+Frame Repair Black HTC One M8 +Tools"
AAA-M1-FA-1X-HUA-000000BLK000,1,,,200,"HUAWEI HONOR 4X H892L BLACK",15.06,0,0,0,0,,"Huawei Honor 4X H892L Digitizer + LCD Fused - Black"
AAA-M1-FA-1X-HUA-000000BLK000-KZ,1,,,200,"HUAWEI HONOR 4X H892L BLACK",15.06,0,0,0,0,,"Touch Screen Digitizer Glass Panel+LCD Display for Black Huawei Honor 4X H892L"
AAA-M1-FA-1X-HUA-000000BLK000-OHT,1,,,200,"<span style=""font-size: 14pt; font-family: Impact; color: #DF3A01"">TOOLS</span> HUAWEI HONOR 4X H892L BLACK",15.06,0,0,0,0,,"Huawei Honor 4X H892L Digitizer + LCD Fused - Black + Main tool kit"
AAA-M1-FA-1X-HUA-000001BLK000,1,,,200,"HUAWEI MATE MT2-L05 U071 BLACK",24.65,24.65,1,0,1,,"Huawei Ascend Mate 2 MT2-L00 L02 L03 L05 U071 Digitizer + LCD Fused - Black"
AAA-M1-FA-1X-HUA-000001BLK000-KZ,1,,,200,"HUAWEI MATE MT2-L05 U071 BLACK",24.65,24.65,1,0,1,,
AAA-M1-FA-1X-HUA-000001BLK000-OHT,1,,,200,"<span style=""font-size: 14pt; font-family: Impact; color: #DF3A01"">TOOLS</span> HUAWEI MATE MT2-L05 U071 BLACK",24.65,24.65,1,0,1,,"Huawei Ascend Mate 2 MT2-L00 L02 L03 L05 U071 Touch Screen Digitizer+LCD +Tools[Black  Digitizer + LCD + Tools]"
AAA-M1-FA-1X-HUA-000001WHT000,1,,,200,"HUAWEI MATE MT2-L05 U071 WHITE",24.65,197.2,8,0,8,,"Huawei Ascend Mate 2 MT2-L00 L02 L03 L05 U071 Digitizer + LCD Fused - White"
AAA-M1-FA-1X-HUA-000001WHT000-KZ,1,,,200,"HUAWEI MATE MT2-L05 U071 WHITE",24.65,197.2,8,0,8,,
AAA-M1-FA-1X-HUA-000001WHT000-OHT,1,,,200,"<span style=""font-size: 14pt; font-family: Impact; color: #DF3A01"">TOOLS</span> HUAWEI MATE MT2-L05 U071 WHITE",24.65,197.2,8,0,8,,"Huawei Ascend Mate 2 MT2-L00 L02 L03 L05 U071 Touch Screen Digitizer+LCD +Tools[White Digitizer + LCD + Tools]"
AAA-M1-FA-1X-LXG-000004BLK000,1,,,200,"LG ESCAPE2 H441 BLACK",13.51,94.57,7,0,7,,"LG Escape2 H441 H443 Digitizer + LCD Fused - Black"
AAA-M1-FA-1X-LXG-000004BLK000-KZ,1,,,200,"LG ESCAPE2 H441 BLACK",13.51,94.57,7,0,7,,
